Date,Open,High,Low,Close,Volume
2017/02/17,14.63664759,14.71944461,14.46185457,14.69184589,23300
2017/02/21,14.71944733,14.71944733,14.53545441,14.56305313,13500
2017/02/22,14.62745149,14.62745149,14.3330628,14.44345856,21500
2017/02/23,14.36066196,14.38826155,14.26866593,14.29626465,9700
2017/02/24,14.2410621,14.36065769,14.23278257,14.36065769,37300
2017/02/27,14.33306096,14.45265657,14.21346536,14.24106407,24900
2017/02/28,14.04787228,14.24106418,13.8638785,14.20426559,81400
2017/03/01,14.2686651,14.50785634,14.2686651,14.34226227,41000
2017/03/02,14.39745837,14.39745837,14.09203005,14.20426559,31500
2017/03/03,14.25946391,14.28706262,14.14906816,14.20426559,45500
2017/03/06,14.15826899,14.33306205,14.1306694,14.2870636,27800
2017/03/07,14.23186513,14.54465351,14.07547094,14.40665817,28600
2017/03/08,14.51705402,14.52625389,14.3698597,14.3698597,19200
2017/03/09,14.3514621,14.65505065,14.3514621,14.59065247,36800
2017/03/10,14.57225178,14.62744922,14.45265618,14.47105503,30600
2017/03/13,14.44345762,14.71024757,14.44345762,14.52625465,20100
2017/03/14,14.49865756,14.49865756,14.23186758,14.3882618,18400
2017/03/15,14.60904918,14.60904918,14.53545202,14.58145046,19100
2017/03/16,14.57225272,14.59065157,14.4526571,14.50785542,48800
2017/03/17,14.42505858,14.71024738,14.42505858,14.68264866,68300
2017/03/20,14.59985089,14.71944649,14.59985089,14.60905075,10500
2017/03/21,14.39745752,14.57225143,14.00187302,14.00187302,20500
2017/03/22,14.02947124,14.02947124,13.83627848,13.90067577,38200
2017/03/23,14.01107368,14.05707213,13.96507611,13.99267483,7500
2017/03/24,14.21346655,14.21346655,13.8454807,13.91907787,13100
2017/03/27,13.79948113,14.07547092,13.79948113,14.07547092,45700
2017/03/28,13.98347571,14.23186682,13.97427585,14.14906979,22400
2017/03/29,14.11226896,14.30546173,14.11226896,14.17666626,26300
2017/03/30,14.1030692,14.20426508,14.05707076,14.13986778,31600
2017/03/31,14.12147263,14.36986289,14.04787545,14.25946712,34800
2017/04/03,14.29626182,14.66424762,14.21346479,14.62744904,28500
2017/04/04,14.62745022,14.69184839,14.27786412,14.30546284,53500
2017/04/05,14.27786473,14.4158592,13.85468057,13.91907787,35800
2017/04/06,14.16746675,14.30546209,13.90987669,14.23186493,38800
2017/04/07,14.25026576,14.50785674,14.02947425,14.44345856,52300
2017/04/10,14.36985992,14.59065141,14.02947281,14.04787254,19800
2017/04/11,14.03867442,14.25026608,13.88228021,14.25026608,23900
2017/04/12,14.23186522,14.3974584,14.02027272,14.03867245,13200
2017/04/13,14.13986955,14.15826928,13.79948242,14.01107407,49300
2017/04/17,14.01107285,14.12146947,13.98347414,14.03867245,13400
2017/04/18,14.00187523,14.25026546,13.99267536,14.22266674,29400
2017/04/19,14.19506359,14.29625945,14.08466787,14.19506359,37700
2017/04/20,14.1766673,14.53545413,14.11227,14.50785542,36700
2017/04/21,14.4434567,14.61825062,14.39745825,14.60905075,24900
2017/04/24,14.71024806,14.85744239,14.57225358,14.83904266,47500
2017/04/25,14.86664114,15.16102979,14.85744127,15.07823277,34900
2017/04/26,15.06903447,15.630214,15.05063649,15.6026144,103700
2017/04/27,15.61181203,15.8602031,15.38182068,15.38182068,36200
2017/04/28,15.38182084,15.455418,15.07823233,15.14262962,42400
2017/05/01,15.47381723,15.47381723,15.10583143,15.16102886,19000
2017/05/02,15.25302568,15.55661418,15.21622798,15.52901459,18800
2017/05/03,15.47381569,15.52901311,15.4094184,15.46461582,24000
2017/05/04,15.40022262,15.7498105,15.40022262,15.6026144,14100
2017/05/05,15.63941183,15.63941183,15.40022061,15.42782021,13800
2017/05/08,15.47382206,15.54741924,15.42782448,15.44622421,11800
2017/05/09,15.53821937,15.53821937,15.39102501,15.44622421,15000
2017/05/10,15.36342237,15.42781966,15.09663157,15.16102886,27900
2017/05/11,15.19782584,15.22542367,14.99543237,15.01383209,21800
2017/05/12,14.99543465,15.18862829,14.87583993,14.90343952,29200
2017/05/15,14.89423812,15.12422943,14.83903894,15.12422943,31700
2017/05/16,15.17942859,15.24382589,15.09663157,15.16102886,18000
2017/05/17,14.9126401,15.0966339,14.50785654,14.59985256,33100
2017/05/18,14.65320806,15.02303363,14.64584799,15.0046339,23000
2017/05/19,14.95863918,15.02303648,14.91263985,14.92183971,18300
2017/05/22,14.88412184,15.17942996,14.87584143,15.13343239,20400
2017/05/23,15.14262842,15.331223,15.14262842,15.28982449,27300
2017/05/24,15.45541805,15.46461791,15.30822372,15.30822372,9400
2017/05/25,15.29902572,15.53821696,15.18863084,15.26222801,20700
2017/05/26,15.15183064,15.22542781,15.01383617,15.1886301,18500
2017/05/30,15.14262742,15.34502091,15.03223258,15.08743,10100
2017/05/31,15.08742924,15.14262666,14.96783453,15.01383209,11700
2017/06/01,15.09663085,15.35422178,15.0230337,15.28982449,19900
2017/06/02,15.30822303,15.54741423,15.26222546,15.40021992,27500
2017/06/05,15.3082256,15.45541994,15.29442668,15.34502506,19300
2017/06/06,15.22542691,15.48301785,15.17022947,15.23462677,13600
2017/06/07,15.31742375,15.31742375,14.97703753,15.06903267,20600
2017/06/08,15.45725534,15.51061384,15.19782554,15.3266201,49000
2017/06/09,15.5750144,15.74980831,15.50141724,15.63021183,28500
